"long","lat","variety","seeding_rate","seed_spacing","speed"
-91.8470021996778,40.3760520515063,"P1498",38.0222,5.4991,3.76
-91.8469820996778,40.3760531515063,"P1498",37.6102,5.5594,3.76
-91.8469624996778,40.3760556515063,"P1498",37.4251,5.5869,3.76
-91.8469429996779,40.3760587515063,"P1498",37.3741,5.5945,3.77
-91.8469234996778,40.3760608515063,"P1498",37.5182,5.573,3.77
-91.8469039996778,40.3760637515063,"P1498",37.0151,5.6487,3.78
-91.8468847996779,40.3760673515063,"P1498",36.9531,5.6582,3.78
-91.8468656996778,40.3760717515063,"P1498",37.1341,5.6306,3.78
-91.8468461996779,40.3760761515063,"P1498",37.2911,5.6069,3.78
-91.8468273996778,40.3760817515063,"P1498",37.3221,5.6023,3.79
-91.8468094996778,40.3760883515063,"P1498",37.2761,5.6092,3.79
-91.8467915996778,40.3760949515063,"P1498",37.2481,5.6134,3.78
-91.8467738996778,40.3761021515063,"P1498",37.2331,5.6157,3.78
-91.8467570996778,40.3761088515063,"P1498",37.2211,5.6175,3.76
-91.8467446996778,40.3761133515063,"P1498",37.4551,5.5824,2.59
-91.8467377996779,40.3761162515063,"P1498",37.4551,5.5824,1.59
-91.8467369996778,40.3761165515063,"P1498",37.4551,5.5824,0.08
-91.8464158996779,40.3759483515063,"P1498",40.6362,5.1454,2.42
-91.8464145996778,40.3759594515063,"P1498",40.6362,5.1454,2.54
-91.8464132996778,40.3759710515063,"P1498",35.2381,5.9336,2.68
-91.8464132996778,40.3759835515063,"P1498",33.4061,6.259,2.87
-91.8464129996779,40.3759959515063,"P1498",32.2331,6.4868,3.03
-91.8464121996778,40.3760082515063,"P1498",32.3931,6.4547,3.08
-91.8464117996779,40.3760208515063,"P1498",32.7081,6.3926,3.11
-91.8464112996779,40.3760332515063,"P1498",32.7261,6.389,3.09
-91.8464117996779,40.3760457515063,"P1498",32.8871,6.3578,3.1
-91.8464115996779,40.3760586515063,"P1498",33.0241,6.3314,3.13
-91.8464114996778,40.3760718515063,"P1498",32.9051,6.3543,3.2
-91.8464115996779,40.3760856515063,"P1498",32.9081,6.3537,3.29
-91.8464112996779,40.3760991515063,"P1498",32.8131,6.3721,3.36
-91.8464115996779,40.3761131515063,"P1498",32.8021,6.3742,3.41
-91.8464107996779,40.3761270515063,"P1498",32.8431,6.3663,3.44
-91.8464102996778,40.3761409515063,"P1498",32.8911,6.357,3.46
-91.8464099996778,40.3761550515063,"P1498",32.9571,6.3443,3.49
-91.8464102996778,40.3761688515063,"P1498",33.0321,6.3299,3.46
-91.8464092996778,40.3761827515063,"P1498",33.1221,6.3127,3.47
-91.8464098996779,40.3761968515063,"P1498",33.1921,6.2993,3.46
-91.8464093996779,40.3762118515063,"P1498",33.2391,6.2904,3.56
