"long","lat","yield"
-91.8499910292947,40.3760971808344,88.4511561345242
-91.8499915292947,40.3761063988344,102.17351733805
-91.8499918212947,40.3761163098344,191.420756250119
-91.8499924452947,40.3761268118344,236.556216965976
-91.8499930392947,40.3761388578344,224.822367119597
-91.8499930282947,40.3761514728344,232.429547279096
-91.8499925322947,40.3761642478344,243.653697562479
-91.8499914862947,40.3761774348344,247.520759261253
-91.8499911382947,40.3761906698344,263.673767814023
-91.8499909822947,40.3762037548344,265.223575851637
-91.8499903052947,40.3762172928344,254.457054229449
-91.8499898372947,40.3762309118344,241.091902068343
-91.8499905392947,40.3762445618344,227.143949979938
-91.8499912542947,40.3762581588344,215.518433672002
-91.8499905752947,40.3762715688344,218.585402127017
-91.8499900292947,40.3762850838344,219.559456563988
-91.8499899592947,40.3762985958344,237.30068418964
-91.8499897692947,40.3763119188344,254.52624225752
-91.8499894172947,40.3763252558344,254.327096045751
-91.8499889632947,40.3763388138344,256.903005943636
-91.8499886532947,40.3763522838344,262.546313502732
-91.8499882162947,40.3763656468344,239.893837218605
-91.8499880642947,40.3763791148344,232.016630521113
-91.8499879612947,40.3763926418344,220.531570355046
-91.8499884222947,40.3764058248344,233.748945164105
-91.8499884602947,40.3764192038344,243.768016351522
-91.8499874762947,40.3764324878344,233.757908147317
-91.8499870442947,40.3764457728344,228.320496119055
-91.8499869912947,40.3764591058344,240.202215048788
-91.8499867242947,40.3764725388344,223.627265518771
-91.8499873092947,40.3764858628344,219.113148320645
-91.8499873722947,40.3764991038344,234.937295866341
-91.8499866672947,40.3765123138344,255.061409226027
-91.8499861552947,40.3765256938344,253.858559263491
-91.8499851592947,40.3765389818344,239.369226289189
-91.8499847632947,40.3765522628344,252.960239130804
-91.8499844662947,40.3765656628344,251.608764813747
-91.8499839722947,40.3765788898343,243.157439125885
-91.8499837382947,40.3765921838343,244.515676382844
-91.8499837252947,40.3766055298344,235.845474009381
-91.8499842292947,40.3766188908344,246.143745457895
-91.8499843392947,40.3766320908343,246.961213393479
-91.8499838352947,40.3766453468344,227.183703846711
-91.8499831162947,40.3766586208343,228.876731909072
-91.8499831262947,40.3766719478344,226.25905845089
-91.8499828332947,40.3766851948344,242.723157237346
-91.8499826882947,40.3766984288343,253.220216410464
-91.8499823852947,40.3767117018344,244.642120351312
-91.8499824232947,40.3767249418344,245.476972442443
-91.8499825202947,40.3767382458343,259.990149245819
-91.8499824132947,40.3767515278343,247.57717274461
-91.8499823742947,40.3767647958343,245.953097460052
-91.8499819542947,40.3767780748343,222.11781829144
-91.8499808682947,40.3767913308344,246.600783706717
-91.8499802962947,40.3768045698343,248.524179456236
-91.8499803182947,40.3768178468343,218.291326179042
-91.8499801212947,40.3768309998343,236.666041967822
-91.8499803052947,40.3768443558343,232.229665140056
-91.8499802052947,40.3768576538343,228.809979349403
-91.8499802742947,40.3768709278343,224.277581163158
-91.8499803352947,40.3768841788343,243.635424710312
-91.8499800792947,40.3768973938343,246.112840731183
-91.8499789072947,40.3769105558343,250.52061397092
-91.8499787062947,40.3769238088343,237.922663925225
-91.8499792782947,40.3769370708343,243.67718760724
-91.8499795912947,40.3769502178343,228.827717409789
-91.8499797252947,40.3769634128343,229.081118753781
-91.8499797822947,40.3769767128343,236.761986730831
-91.8499791282947,40.3769899548343,234.132605153216
-91.8499787992947,40.3770031578343,230.733054170646
-91.8499787672947,40.3770163998343,226.71440747011
-91.8499782062947,40.3770295898343,228.562627319599
-91.8499776892947,40.3770429208343,219.487350314939
-91.8499776132947,40.3770561458343,208.725019832459
